Name,target_CO2_capacity(mmol/g),MW_or_Mn_(g/mol),Organic_Content_on_Adsorbent_Basis_(%),N_Content_on_Adsorbent_Basis_(mmol/g),Amine_2_or_Additive_2_to_Amine_1_Ratio,Additive_3_to_Amine_1_Ratio,OH_to_N_ratio,BET_Surface_Area_of_Solid_Support_(m2g_1),Pore_Volume_of_Solid_Support_(cm3g_1),Average_Pore_Diameters_(nm),Relative_Humidity_(%),CO2_Concentration_(vol%),Flow_Rate_(mL/min),Adsorption_Time_(min),Adsorption_Temperature_(),Amine_Efficiency_(mmol/mmol),Time_to_Half_Saturation_(min),Time_to_90%_Saturation_(min),Desorption_Temperature_(),Weight_Loss_Stability_(%),Capacity_Loss_Stability_(%),Cycle_Number,Heat_of_Adsorption_(kJ/mmol)
SBA-15BPEI1.81_1.52_1,0.72,600,25,5.833333333,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.123428571,17,61,90,0.10306622,-1.4,10,0
SBA-15BPEI1.81_1.52_1,0.72,600,25,5.833333333,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.123428571,17,61,110,0.25974026,-5,10,0
SBA-15BPEI1.81_1.52_1,1.147,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,-5,0.098314286,69.6,230.9,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.895767196,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,5,0.076780045,26.2,170.3,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.092592593,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,15,0.093650794,22.09,122.3,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.215343915,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.104172336,20.5,131.02,90,0.481927711,0.5,10,0
SBA-15BPEI1.81_1.52_1,1.215343915,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.104172336,20.5,131.02,110,0.612244898,2.12,10,0
SBA-15BPEI1.81_1.52_1,1.429100529,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,35,0.122494331,26.41,116.67,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.585714286,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,45,0.135918367,29.3,104,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.348677249,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,55,0.115600907,18.33,60.6,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.005820106,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,65,0.086213152,16.4,55.14,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.317989418,600,50,11.66666667,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,75,0.027256236,6.12,12.67,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.9,600,75,17.5,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.162857143,43,221,90,0.380228137,3,10,0
SBA-15BPEI1.81_1.52_1,1.9,600,75,17.5,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.108571429,43,221,110,0.715137068,1,10,0
SBA-15BPEI1.81_1.52_1,0.89,600,25,5.833333333,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.050857143,20.2,71.4,90,0.941176471,1.520794538,10,0
SBA-15BPEI1.81_1.52_1,0.89,600,25,5.833333333,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.152571429,20.2,71.4,110,0.232018561,3.831214196,10,0
SBA-15TEPA1_1.5_0,2.284126984,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,-5,0.391564626,35.61,133.4,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.975132275,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,5,0.14932,31.67,92.86,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.964550265,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,15,0.14852,30.95,75.18,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.135978836,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.16148,31.3,67.94,90,2.672605791,3.399122807,10,0
SBA-15TEPA1_1.5_0,2.135978836,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.080871149,31.3,67.94,110,2.518947838,3.588516746,10,0
SBA-15TEPA1_1.5_0,2.123280423,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,35,0.16052,30.5,61.45,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.074603175,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,45,0.15684,30.58,58.93,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.051322751,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,55,0.15508,30.58,75.53,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.134920635,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,65,0.0858,21.28,59.08,0,0,0,0,0
SBA-15TEPA1_1.5_0,0.332804233,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,75,0.02516,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.3,189,50,13.22751323,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.17388,41.6,100.1,0,0,0,0,0
SBA-15TEPA1_1.5_0,3.44,189,75,19.84126984,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.043414405,113,241.5,90,3.638381845,5.517241379,10,0
SBA-15TEPA1_1.5_0,3.44,189,75,19.84126984,0,0,0,643.03,1.1441,7.116930781,0,0.04,100,350,25,0.173376,113,241.5,110,8.075117371,0,10,0
SBA-15DEA0_1_0,0.54,105.14,50,4.909090909,0,0,2,934.91,1.45,6.203805714,0,0.04,100,300,25,0.11,11.85,42.2,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.1,189,50,6.470588235,4,0,1.18,934.91,1.45,6.203805714,0,0.04,100,300,25,0.17,16.05,42.65,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.38,189,50,7.666666667,2,0,0.84,934.91,1.45,6.203805714,0,0.04,100,300,25,0.18,23.55,52,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.68,189,50,8.842105263,1,0,0.53,934.91,1.45,6.203805714,0,0.04,100,300,25,0.19,24.5,55.4,80,0,3.5,10,0
SBA-15TEPA1_1.5_0,1.9,189,50,10.55555556,0.5,0,0.31,934.91,1.45,6.203805714,0,0.04,100,300,25,0.18,27.7,58.25,70,0.21978022,6.1,10,0
SBA-15TEPA1_1.5_0,1.9,189,50,10.55555556,0.5,0,0.31,934.91,1.45,6.203805714,0,0.04,100,300,25,0.18,27.7,58.25,80,1.103752759,2,10,0
SBA-15TEPA1_1.5_0,1.9,189,50,10.55555556,0.5,0,0.31,934.91,1.45,6.203805714,0,0.04,100,300,25,0.18,27.7,58.25,90,23.25581395,5,10,0
SBA-15TEPA1_1.5_0,1.9,189,50,10.55555556,0.5,0,0.31,934.91,1.45,6.203805714,0,0.04,100,300,25,0.18,27.7,58.25,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.9,189,50,10.55555556,0.5,0,0.31,934.91,1.45,6.203805714,0,0.04,100,300,25,0.18,27.7,58.25,110,7.816091954,13,10,0
SBA-15TEPA1_1.5_0,1.93,189,50,11.35294118,0.25,0,0.17,934.91,1.45,6.203805714,0,0.04,100,300,25,0.17,26.15,52.7,70,0.218818381,6,10,0
SBA-15TEPA1_1.5_0,1.93,189,50,11.35294118,0.25,0,0.17,934.91,1.45,6.203805714,0,0.04,100,300,25,0.17,26.15,52.7,80,0.740740741,3.7,10,0
SBA-15TEPA1_1.5_0,1.93,189,50,11.35294118,0.25,0,0.17,934.91,1.45,6.203805714,0,0.04,100,300,25,0.17,26.15,52.7,90,2.197802198,4.5,10,0
SBA-15TEPA1_1.5_0,1.93,189,50,11.35294118,0.25,0,0.17,934.91,1.45,6.203805714,0,0.04,100,300,25,0.17,26.15,52.7,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.93,189,50,11.35294118,0.25,0,0.17,934.91,1.45,6.203805714,0,0.04,100,300,25,0.17,26.15,52.7,110,7.901907357,14.9,10,0
SBA-15TEPA1_1.5_0,1.91,189,50,13.64285714,0,0,0,934.91,1.45,6.203805714,0,0.04,100,300,25,0.14,28.5,57.6,0,0,0,0,0
SBA-15DEA0_1_0,0.587,105.14,50,4.891666667,0,0,2,992,1.13,4.556451613,0,0.04,100,120,25,0.12,12.37,70.49,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.1,600,50,6.875,4,0,1.25,992,1.13,4.556451613,0,0.04,100,120,25,0.16,14.22,32.46,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.217,600,50,7.158823529,2,0,0.91,992,1.13,4.556451613,0,0.04,100,120,25,0.17,19.06,53.87,60,0,5.42,10,0
SBA-15BPEI1.81_1.52_1,1.217,600,50,7.158823529,2,0,0.91,992,1.13,4.556451613,0,0.04,100,120,25,0.17,19.06,53.87,70,0,1.3721,10,0
SBA-15BPEI1.81_1.52_1,1.217,600,50,7.158823529,2,0,0.91,992,1.13,4.556451613,0,0.04,100,120,25,0.17,19.06,53.87,80,0,4.15,10,0
SBA-15BPEI1.81_1.52_1,1.217,600,50,7.158823529,2,0,0.91,992,1.13,4.556451613,0,0.04,100,120,25,0.17,19.06,53.87,90,0,8.901,10,0
SBA-15BPEI1.81_1.52_1,1.217,600,50,7.158823529,2,0,0.91,992,1.13,4.556451613,0,0.04,100,120,25,0.17,19.06,53.87,110,0,31.3105,10,0
SBA-15BPEI1.81_1.52_1,1.62,600,50,8.1,1,0,0.59,992,1.13,4.556451613,0,0.04,100,120,25,0.2,23.98,57.95,60,0,13.29,10,0
SBA-15BPEI1.81_1.52_1,1.62,600,50,8.1,1,0,0.59,992,1.13,4.556451613,0,0.04,100,120,25,0.2,23.98,57.95,70,0,1.8808,10,0
SBA-15BPEI1.81_1.52_1,1.62,600,50,8.1,1,0,0.59,992,1.13,4.556451613,0,0.04,100,120,25,0.2,23.98,57.95,70,0,22,50,0
SBA-15BPEI1.81_1.52_1,1.62,600,50,8.1,1,0,0.59,992,1.13,4.556451613,0,0.04,100,120,25,0.2,23.98,57.95,80,0,3.3582,10,0
SBA-15BPEI1.81_1.52_1,1.62,600,50,8.1,1,0,0.59,992,1.13,4.556451613,0,0.04,100,120,25,0.2,23.98,57.95,90,0,12.216,10,0
SBA-15BPEI1.81_1.52_1,1.62,600,50,8.1,1,0,0.59,992,1.13,4.556451613,0,0.04,100,120,25,0.2,23.98,57.95,110,0,17.9,10,0
SBA-15BPEI1.81_1.52_1,1.512,600,50,9.45,0.5,0,0.34,992,1.13,4.556451613,0,0.04,100,120,25,0.16,23.33,60.19,60,0,26.41,10,0
SBA-15BPEI1.81_1.52_1,1.512,600,50,9.45,0.5,0,0.34,992,1.13,4.556451613,0,0.04,100,120,25,0.16,23.33,60.19,70,0,7.35,10,0
SBA-15BPEI1.81_1.52_1,1.512,600,50,9.45,0.5,0,0.34,992,1.13,4.556451613,0,0.04,100,120,25,0.16,23.33,60.19,80,0,3.91,10,0
SBA-15BPEI1.81_1.52_1,1.512,600,50,9.45,0.5,0,0.34,992,1.13,4.556451613,0,0.04,100,120,25,0.16,23.33,60.19,90,0,5.491,10,0
SBA-15BPEI1.81_1.52_1,1.512,600,50,9.45,0.5,0,0.34,992,1.13,4.556451613,0,0.04,100,120,25,0.16,23.33,60.19,110,0,8.31,10,0
SBA-15BPEI1.81_1.52_1,1.291,600,50,9.930769231,0.25,0,0.19,992,1.13,4.556451613,0,0.04,100,120,25,0.13,20.08,76.88,60,0,41.712,10,0
SBA-15BPEI1.81_1.52_1,1.291,600,50,9.930769231,0.25,0,0.19,992,1.13,4.556451613,0,0.04,100,120,25,0.13,20.08,76.88,70,0,21.07,10,0
SBA-15BPEI1.81_1.52_1,1.291,600,50,9.930769231,0.25,0,0.19,992,1.13,4.556451613,0,0.04,100,120,25,0.13,20.08,76.88,80,0,7.74,10,0
SBA-15BPEI1.81_1.52_1,1.291,600,50,9.930769231,0.25,0,0.19,992,1.13,4.556451613,0,0.04,100,120,25,0.13,20.08,76.88,90,0,4.117,10,0
SBA-15BPEI1.81_1.52_1,1.291,600,50,9.930769231,0.25,0,0.19,992,1.13,4.556451613,0,0.04,100,120,25,0.13,20.08,76.88,110,0,3.265,10,0
SBA-15BPEI1.81_1.52_1,1.107,600,50,11.07,0,0,0,992,1.13,4.556451613,0,0.04,100,120,25,0.1,16.45,56.33,70,0,24.1851,10,0
SBA-15BPEI1.81_1.52_1,1.107,600,50,11.07,0,0,0,992,1.13,4.556451613,0,0.04,100,120,25,0.1,16.45,56.33,80,0.650759219,-0.25,10,0
SBA-15BPEI1.81_1.52_1,1.107,600,50,11.07,0,0,0,992,1.13,4.556451613,0,0.04,100,120,25,0.1,16.45,56.33,80,0,44.18,50,0
SBA-15BPEI1.81_1.52_1,1.107,600,50,11.07,0,0,0,992,1.13,4.556451613,0,0.04,100,120,25,0.1,16.45,56.33,90,0,2.08,10,0
SBA-15BPEI1.81_1.52_1,1.107,600,50,11.07,0,0,0,992,1.13,4.556451613,0,0.04,100,120,25,0.1,16.45,56.33,110,0,2.31,10,0
SBA-15TEPA1_1.5_0,1.62,189,50,9.529411765,0,0,0,992,1.08,4.35483871,0,0.04,100,180,25,0.17,25.16,53.6,80,0,7,5,0
SBA-15TEPA1_1.5_0,1.54,189,50,9.058823529,4,0,0,992,1.08,4.35483871,0,0.04,100,180,25,0.17,24.69,49.57,80,0,10.2,5,0
SBA-15TEPA1_1.5_0,2.27,189,50,10.31818182,4,0,0.18,992,1.08,4.35483871,0,0.04,100,180,25,0.22,32.74,69.71,80,0,2.3,5,0
SBA-15TEPA1_1.5_0,1.6,189,50,8.888888889,4,0,0.004,992,1.08,4.35483871,0,0.04,100,180,25,0.18,25.11,53.4,80,0,5,5,0
SBA-15TEPA1_1.5_0,1.4,189,50,9.333333333,4,0,0,992,1.08,4.35483871,0,0.04,100,180,25,0.15,23.27,43.64,80,0,16.2,5,0
SBA-15TEPA1_1.5_0,2.05,189,50,9.318181818,4,0,0.11,992,1.08,4.35483871,0,0.04,100,180,25,0.22,33.22,65.92,80,0,4.1,5,0
SBA-15TEPA1_1.5_0,1.63,189,50,9.055555556,4,0,0,992,1.08,4.35483871,0,0.04,100,180,25,0.18,25.21,53.69,80,0,21.6,5,0
SBA-15TEPA1_1.5_0,1.42,189,50,8.875,4,0,0.078,992,1.08,4.35483871,0,0.04,100,180,25,0.16,23.31,43.69,80,0,6.2,5,0
SBA-15BPEI1.81_1.52_1,0.656870378,305,10,2.35120237,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.279376368,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.523063449,305,10,2.373194302,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.220404814,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.275723368,305,10,2.348659447,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.117396061,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.214902037,305,10,2.332784583,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.092122538,0.85,13.08,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.166244972,305,10,2.31451492,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.071827133,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.077040353,305,10,2.173298845,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.035448578,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.001524588,305,19.77,4.398815346,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.227680525,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.054236408,305,19.77,4.393853522,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.239934354,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.879881926,305,19.77,4.380240087,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.200875274,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.843389127,305,19.77,4.399872499,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.191684902,0.68,2.51,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.733910731,305,19.77,4.430610355,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.165645514,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.498734916,305,19.77,4.362140799,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.114332604,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.492149994,305,33.36,7.514187846,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.198577681,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.702997275,305,33.36,7.5050121,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.226914661,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.157129882,305,33.36,7.515215217,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.287035011,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.473400804,305,33.36,7.523089302,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.328774617,0.86,4.33,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.18551317,305,33.36,7.513857578,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.290864333,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.670559232,305,33.36,7.362059489,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.226914661,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.435383418,305,38.49,8.6057097,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.166794311,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.007103931,305,38.49,8.612643161,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.233041575,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.449072272,305,38.49,8.746686686,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.28,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.809945504,305,38.49,8.389266972,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.334945295,0.59,2.91,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.801835993,305,38.49,8.622485178,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.324945295,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.262553523,305,38.49,8.630942904,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.26214442,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.662449721,305,44.12,10.39031076,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.16,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.161184637,305,44.12,10.29135542,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.21,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.749124173,305,44.12,10.18194138,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.27,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,3.333008953,305,44.12,10.10002713,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.33,0.59,2.21,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,3.543856235,305,44.12,10.12530353,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.35,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.886985857,305,44.12,10.31066378,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.28,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.334014532,305,50.16,12.12740484,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.11,9.97,41.22,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.071980018,305,50.16,11.5110001,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.18,1.5,3.97,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,2.846438303,305,50.16,11.8601596,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.24,1.37,3.01,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,3.531691968,305,50.16,11.77230656,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.3,1.05,3.47,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,4.13179577,305,50.16,11.80513077,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.35,1.37,3.54,100,0,6.14,30,0
SBA-15BPEI1.81_1.52_1,3.191092513,305,50.16,11.81886116,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.27,1.29,2.98,0,0,0,0,0
SBA-15DETA2_1_0,0.835500134,103,9.79,2.750616268,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.303750161,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.799910185,103,9.79,2.718998791,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.294192917,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.646728805,103,9.79,2.714056813,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.238288603,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.453003137,103,9.79,2.713637274,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.166935773,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.255219375,103,9.79,2.796278659,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.091271081,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.18719133,103,9.79,2.750337914,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.068061211,1.26,43.37,0,0,0,0,0
SBA-15DETA2_1_0,1.11934014,103,19.69,5.294521379,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.211414793,0,0,0,0,0,0,0
SBA-15DETA2_1_0,1.031031621,103,19.69,5.267089145,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.195749795,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.825141666,103,19.69,5.216827354,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.158169249,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.586806952,103,19.69,5.174545697,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.113402603,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.502556527,103,19.69,5.583961414,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.09,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.239903236,103,19.69,4.241250931,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.056564264,0.51,2.21,0,0,0,0,0
SBA-15DETA2_1_0,1.078789187,103,34.65,9.254871701,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.116564467,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.990480669,103,34.65,9.133539442,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.108444341,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.796755,103,34.65,9.308509748,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.08559426,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.643576953,103,34.65,9.250717463,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.069570491,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.502559859,103,34.65,9.711336273,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.051749815,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.239903236,103,34.65,8.970338531,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.026744056,0.45,0.47,0,0,0,0,0
SBA-15DETA2_1_0,1.151771572,103,43.29,11.55494377,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.099677817,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.998593524,103,43.29,11.63730003,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.085809726,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.95894215,103,43.29,11.69420774,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.082001464,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.724341508,103,43.29,11.54436205,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.062744178,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.555271765,103,43.29,11.79442294,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.04707918,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.349381811,103,43.29,11.12160585,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.031414691,0.81,1.72,0,0,0,0,0
SBA-15DETA2_1_0,1.078785856,103,47.1,12.75340378,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.084588073,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.962100666,103,47.1,13.00136035,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.074,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.812974049,103,47.1,12.69528424,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.064037483,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.676015049,103,47.1,12.49081796,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.054120959,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.522833669,103,47.1,13.85433539,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.037737911,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.239903236,103,47.1,11.62530132,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.020636303,0.56,1.58,0,0,0,0,0
SBA-15DETA2_1_0,0.993635853,103,49.49,12.42044816,0,0,0,492.6,1.35,8.81,0,100,60,90,20,0.08,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.885060188,103,49.49,13.25577265,0,0,0,492.6,1.35,8.81,0,100,60,90,40,0.066767906,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.804950045,103,49.49,13.7250389,0,0,0,492.6,1.35,8.81,0,100,60,90,60,0.058648289,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.724668861,103,49.49,13.38980078,0,0,0,492.6,1.35,8.81,0,100,60,90,80,0.054120959,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.502559859,103,49.49,13.44492868,0,0,0,492.6,1.35,8.81,0,100,60,90,100,0.037379139,0,0,0,0,0,0,0
SBA-15DETA2_1_0,0.272341333,103,49.49,13.67295373,0,0,0,492.6,1.35,8.81,0,100,60,90,120,0.019918252,0.46,2.09,0,0,0,0,0
NSBPEI1.79_1.38_1,4.58986594,600,60,14.65071429,0,0,0,336,1.28,0,0,100,60,90,105,0.313286155,0.69,4.12,120,0,19.4,30,70.3
NSBPEI1.79_1.38_1,4.58986594,600,60,14.65071429,0,0,0,336,1.28,0,0,100,60,90,105,0.313286155,0.69,4.12,150,0,96,30,0
NSBPEI1.79_1.38_1,2.999318337,600,60,14.65071429,0,0,0,336,1.28,0,0,15,60,90,105,0.204721646,1.47,2.23,0,0,0,0,0
NSBPEI1.42_1.14_1,4.08997955,537,60,14.69214286,0,0,0,336,1.28,0,0,100,60,90,105,0.278378695,0.77,10.4,120,0,9.7,30,69.8
NSBPEI1.42_1.14_1,4.08997955,537,60,14.69214286,0,0,0,336,1.28,0,0,100,60,90,105,0.278378695,0.77,10.4,150,0,92,30,0
